Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,8383,7500,883,11811,301,3899,41,0.894668,0.961957,0.330116,,,1.31143762604,1.45720338983
INDEL,PASS,8383,7256,1127,9970,248,2297,28,0.865561,0.967679,0.230391,,,1.31143762604,1.23884694578
SNP,ALL,52494,52125,369,90092,548,37383,107,0.992971,0.989603,0.414943,2.08261405672,1.74587418549,1.59433542583,3.13258602472
SNP,PASS,52494,46920,5574,48078,122,1014,8,0.893816,0.997408,0.021091,2.08261405672,2.08928227824,1.59433542583,1.48759858863
