Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,8937,7838,1099,11811,346,3517,45,0.877028,0.958283,0.297773,,,1.35799061551,1.45720338983
INDEL,PASS,8937,7549,1388,9970,285,1962,30,0.844691,0.964411,0.19679,,,1.35799061551,1.23884694578
SNP,ALL,52494,52125,369,90092,582,37348,107,0.992971,0.988966,0.414554,2.08261405672,1.74587418549,1.59433542583,3.13258602472
SNP,PASS,52494,46920,5574,48078,143,992,8,0.893816,0.996963,0.020633,2.08261405672,2.08928227824,1.59433542583,1.48759858863
