Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,8946,7585,1361,9970,307,1954,31,0.847865,0.961702,0.195988,,,1.35899558499,1.23884694578
INDEL,PASS,8946,7585,1361,9970,307,1954,31,0.847865,0.961702,0.195988,,,1.35899558499,1.23884694578
SNP,ALL,52494,46921,5573,48078,121,1014,8,0.893835,0.997429,0.021091,2.08261405672,2.08928227824,1.59433542583,1.48759858863
SNP,PASS,52494,46921,5573,48078,121,1014,8,0.893835,0.997429,0.021091,2.08261405672,2.08928227824,1.59433542583,1.48759858863
