Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,9126,8532,594,14509,367,5401,18,0.934911,0.959706,0.372252,0.947146,,,1.4244024458,1.94557119205
INDEL,PASS,9126,8532,594,14483,366,5376,18,0.934911,0.959811,0.371194,0.947198,,,1.4244024458,1.94079900642
SNP,ALL,51016,50157,859,70641,130,20405,60,0.983162,0.997412,0.288855,0.990236,2.08128510176,1.85179356817,1.59334960342,2.28952886901
SNP,PASS,51016,50156,860,70551,130,20316,60,0.983143,0.997412,0.287962,0.990226,2.08128510176,1.85242059323,1.59334960342,2.28640686183
