Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,C6_15,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,38708702.000000,33466476.000000,0.000000,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,38708702.000000,33466476.000000,0.000000,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,33466476.000000,33466476.000000,0.000000,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,33466476.000000,33466476.000000,0.000000,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,D16_PLUS,*,ALL,*,QUAL,*,0.563025,0.87013,0.433824,0.683673,1,7,38708702,33466476.000000,0.000000,119,.,.,67.000000,38.000000,,1.76315789474,67,.,.,28.000000,30.000000,,0.933333333333,52,.,.,39.000000,8.000000,,4.875,136,.,.,81.000000,55.000000,,1.47272727273,67,.,.,37.000000,30.000000,,1.23333333333,10,.,.,7.000000,3.000000,,2.33333333333,59,.,.,37.000000,22.000000,,1.68181818182
INDEL,D16_PLUS,*,PASS,*,QUAL,*,0.445378,0.898305,0.321839,0.595506,1,4,38708702,33466476.000000,0.000000,119,.,.,67.000000,38.000000,,1.76315789474,53,.,.,19.000000,25.000000,,0.76,66,.,.,48.000000,13.000000,,3.69230769231,87,.,.,48.000000,39.000000,,1.23076923077,53,.,.,28.000000,25.000000,,1.12,6,.,.,3.000000,3.000000,,1.0,28,.,.,17.000000,11.000000,,1.54545454545
INDEL,D16_PLUS,TS_boundary,ALL,*,QUAL,*,0.214286,0.333333,0.608696,0.26087,1,3,38708702.000000,33466476.000000,0.000000,14,.,.,9.000000,4.000000,,2.25,3,.,.,1.000000,2.000000,,0.5,11,.,.,8.000000,2.000000,,4.0,23,.,.,13.000000,10.000000,,1.3,3,.,.,1.000000,2.000000,,0.5,6,.,.,4.000000,2.000000,,2.0,14,.,.,8.000000,6.000000,,1.33333333333
INDEL,D16_PLUS,TS_boundary,PASS,*,QUAL,*,0.142857,0.4,0.642857,0.210526,1,1,38708702.000000,33466476.000000,0.000000,14,.,.,9.000000,4.000000,,2.25,2,.,.,0.000000,2.000000,,0.0,12,.,.,9.000000,2.000000,,4.5,14,.,.,6.000000,8.000000,,0.75,2,.,.,0.000000,2.000000,,0.0,3,.,.,1.000000,2.000000,,0.5,9,.,.,5.000000,4.000000,,1.25
INDEL,D16_PLUS,TS_contained,ALL,*,QUAL,*,0.609524,0.941176,0.0,0.739884,0,4,33466476.000000,33466476.000000,0.000000,105,.,.,58.000000,34.000000,,1.70588235294,64,.,.,27.000000,28.000000,,0.964285714286,41,.,.,31.000000,6.000000,,5.16666666667,68,.,.,39.000000,29.000000,,1.34482758621,64,.,.,36.000000,28.000000,,1.28571428571,4,.,.,3.000000,1.000000,,3.0,0,.,.,0.000000,0.000000,,
INDEL,D16_PLUS,TS_contained,PASS,*,QUAL,*,0.485714,0.944444,0.0,0.641509,0,3,33466476.000000,33466476.000000,0.000000,105,.,.,58.000000,34.000000,,1.70588235294,51,.,.,19.000000,23.000000,,0.826086956522,54,.,.,39.000000,11.000000,,3.54545454545,54,.,.,30.000000,24.000000,,1.25,51,.,.,28.000000,23.000000,,1.21739130435,3,.,.,2.000000,1.000000,,2.0,0,.,.,0.000000,0.000000,,
INDEL,D1_5,*,ALL,*,QUAL,*,0.920206,0.967464,0.300282,0.943244,21,93,38708702,33466476.000000,0.000000,3885,.,.,2184.000000,1523.000000,,1.43401181878,3575,.,.,1959.000000,1475.000000,,1.32813559322,310,.,.,225.000000,48.000000,,4.6875,5315,.,.,3312.000000,2003.000000,,1.65351972042,3598,.,.,2134.000000,1464.000000,,1.45765027322,121,.,.,74.000000,47.000000,,1.57446808511,1596,.,.,1104.000000,492.000000,,2.24390243902
