Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,8937,7060,1877,11812,1232,3520,45,0.789974,0.851423,0.298002,0.819548,,,1.35799061551,1.45762711864
INDEL,PASS,8937,6850,2087,9971,1157,1964,30,0.766476,0.855501,0.196971,0.808546,,,1.35799061551,1.23930450698
SNP,ALL,52494,52105,389,90092,639,37348,107,0.99259,0.987885,0.414554,0.990232,2.08261405672,1.74587418549,1.59433542583,3.13258602472
SNP,PASS,52494,46908,5586,48078,178,992,8,0.893588,0.99622,0.020633,0.942117,2.08261405672,2.08928227824,1.59433542583,1.48759858863
