Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,8929,7968,961,11812,227,3516,116,0.892373,0.972637,0.297663,0.930778,,,1.35718232044,1.45762711864
INDEL,PASS,8929,7660,1269,9971,175,1960,85,0.857879,0.978155,0.19657,0.914077,,,1.35718232044,1.23930450698
SNP,ALL,52494,52174,320,90092,504,37348,134,0.993904,0.990444,0.414554,0.992171,2.08261405672,1.74587418549,1.59433542583,3.13258602472
SNP,PASS,52494,46955,5539,48078,90,992,17,0.894483,0.998089,0.020633,0.94345,2.08261405672,2.08928227824,1.59433542583,1.48759858863
