,type,total.truth,total.query,tp,fp,fn,unk,ambi,recall,recall_lower,recall_upper,recall2,precision,precision_lower,precision_upper,na,ambiguous,fp.region.size,fp.rate,sompyversion,sompycmd
0,indels,2274,1984,1600,36,674,348,0,0.703605980651,0.684586459283,0.722107586725,0.703605980651,0.977995110024,0.970018022975,0.984284646594,0.175403225806,0.0,32898860,1.09426284072,som.py-v0.3.10,/illumina/sync/software/groups/hap.py/latest/hap.py/hap.py-v0.3.10/bin/som.py /home/mgonzalez/workspace/git/hap.py/example/sompy/PG_admix_truth_grch38_indels.vcf.gz /home/mgonzalez/workspace/git/hap.py/example/sompy/strelka_grch38_admix_pass_indels.vcf.gz -o sompy.strelka_grch38_admix_pass_indels -P -f /home/mgonzalez/workspace/git/hap.py/example/sompy/FP_admix_grch38.bed.gz --feature-table hcc.strelka.indel --count-unk --verbose
5,records,2274,1984,1600,36,674,348,0,0.703605980651,0.684586459283,0.722107586725,0.703605980651,0.977995110024,0.970018022975,0.984284646594,0.175403225806,0.0,32898860,1.09426284072,som.py-v0.3.10,/illumina/sync/software/groups/hap.py/latest/hap.py/hap.py-v0.3.10/bin/som.py /home/mgonzalez/workspace/git/hap.py/example/sompy/PG_admix_truth_grch38_indels.vcf.gz /home/mgonzalez/workspace/git/hap.py/example/sompy/strelka_grch38_admix_pass_indels.vcf.gz -o sompy.strelka_grch38_admix_pass_indels -P -f /home/mgonzalez/workspace/git/hap.py/example/sompy/FP_admix_grch38.bed.gz --feature-table hcc.strelka.indel --count-unk --verbose
