Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,1764,1764,0,1707,0,0,0,1.0,1.0,0.0,1.0,,,0.93986636971,1.041013269
INDEL,PASS,1764,1764,0,1707,0,0,0,1.0,1.0,0.0,1.0,,,0.93986636971,1.041013269
SNP,ALL,2210,2210,0,2325,0,0,0,1.0,1.0,0.0,1.0,1.65944645006,1.55885588559,1.43124312431,1.38114754098
SNP,PASS,2210,2210,0,2325,0,0,0,1.0,1.0,0.0,1.0,1.65944645006,1.55885588559,1.43124312431,1.38114754098
