Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,6049,6049,0,5799,0,0,0,1.0,1.0,0.0,,,1.498738,1.688471
INDEL,PASS,6049,6049,0,5799,0,0,0,1.0,1.0,0.0,,,1.498738,1.688471
SNP,ALL,7463,7463,0,7918,0,0,0,1.0,1.0,0.0,1.869666,1.742036,1.446557,1.424809
SNP,PASS,7463,7463,0,7918,0,0,0,1.0,1.0,0.0,1.869666,1.742036,1.446557,1.424809
