Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,1415,1226,189,2851,58,1544,13,0.866431,0.955624,0.541564,0.908844,,,1.69246031746,2.66404199475
INDEL,PASS,1415,1139,276,1597,49,375,11,0.804947,0.959902,0.234815,0.875622,,,1.69246031746,1.39602446483
SNP,ALL,9908,9774,134,43035,135,33122,44,0.986476,0.986382,0.769653,0.986429,1.7952045134,1.47284198451,1.74736550194,8.49612746183
SNP,PASS,9908,7073,2835,7537,26,436,1,0.713868,0.996339,0.057848,0.831776,1.7952045134,1.8016924209,1.74736550194,1.51645741432
